Conference,School,Abbr,Team,Color,Lat,Long,K,Logo,,ESPN
Conference USA,Middle Tenn.,MTEN,Blue Raiders,#0066CC ,35.851155,-86.368171,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2393.gif,,http://espn.go.com/college-football/team/_/id/2393/middle-tennessee-blue-raiders
Big Ten,Minnesota,MINN,Golden Gophers,#FFCC33 ,44.976536,-93.224566,2,https://sportsfly.cbsistatic.com/bundles/sportsmediacss/images/team-logos/ncaa/MINN.svg,,http://espn.go.com/college-football/team/_/id/135/minnesota-golden-gophers
SEC,Mississippi St.,MIST,Bulldogs,#660000 ,33.456344,-88.793378,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/344.gif,,http://espn.go.com/college-football/team/_/id/344/mississippi-St.-bulldogs
SEC,Missouri,MIZZ,Tigers,#F1B82D ,38.935838,-92.333202,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/142.gif,,http://espn.go.com/college-football/team/_/id/142/missouri-tigers
American,Navy,NAVY,Midshipmen,#00205b,38.98478,-76.507087,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2426.gif,,http://espn.go.com/college-football/team/_/id/2426/navy-midshipmen
ACC,North Carolina St.,NCSU,Wolfpack,#CC0000 ,35.800781,-78.719464,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/152.gif,,http://espn.go.com/college-football/team/_/id/152/north-carolina-St.-wolfpack
Big Ten,Nebraska,NEB,Cornhuskers,#e41c38 ,40.820637,-96.705658,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/158.gif,,http://espn.go.com/college-football/team/_/id/158/nebraska-cornhuskers
Mountain West,Nevada,NEV,Wolf Pack,#807f84 ,39.546942,-119.817554,1,https://upload.wikimedia.org/wikipedia/en/thumb/2/21/Nevada_Wolf_Pack_logo.svg/1200px-Nevada_Wolf_Pack_logo.svg.png,,http://espn.go.com/college-football/team/_/id/2440/nevada-wolf-pack
Mountain West,New Mexico,NMX,Lobos,#BA0C2F ,35.066964,-106.62828,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/167.gif,,http://espn.go.com/college-football/team/_/id/167/new-mexico-lobos
Sun Belt,New Mexico St.,NMST,Aggies,#861F41 ,32.279635,-106.741094,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/166.gif,,http://espn.go.com/college-football/team/_/id/166/new-mexico-St.-aggies
ACC,North Carolina,UNC,Tar Heels,#7BAFD4 ,35.906956,-79.047869,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/153.gif,,http://espn.go.com/college-football/team/_/id/153/north-carolina-tar-heels
Conference USA,North Texas,NTEX,Mean Green,#00853E ,33.203939,-97.159241,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/249.gif,,http://espn.go.com/college-football/team/_/id/249/north-texas-mean-green
MAC,Northern Ill.,NILL,Huskies,#BA0C2F ,41.933955,-88.777814,1,http://a.espncdn.com/i/teamlogos/ncaa/med/trans/2459.gif,,http://espn.go.com/college-football/team/_/id/2459/northern-illinois-huskies
Big Ten,Northwestern,NW,Wildcats,#4E2A84 ,42.065413,-87.692494,1,https://b.fssta.com/uploads/content/dam/fsdigital/fscom/global/dev/static_resources/ncaaf/teams/retina/32.vresize.200.200.medium.0.png,,http://espn.go.com/college-football/team/_/id/77/northwestern-wildcats
D1 Independents,Notre Dame,ND,Fighting Irish,#b09043 ,41.698399,-86.233928,1,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1138px-Notre_Dame_Fighting_Irish_logo.svg.png,,http://espn.go.com/college-football/team/_/id/87/notre-dame-fighting-irish
